Chapter: ”24.慎平が好き”
<span class="chapter-reading_char-name">網代慎平</span>: ハァッハァッ……ハァッ……。
<span class="chapter-reading_char-name">小舟潮</span>: ちゃんと私のこと、見つけてよ。
<span class="chapter-reading_char-name">網代慎平</span>: ハァッ……ハァッ……。
<span class="chapter-reading_char-name">小舟潮</span>: …………。
<span class="chapter-reading_char-name">網代慎平</span>: ……潮？
<span class="chapter-reading_char-name">小舟潮</span>: …………。
<span class="chapter-reading_char-name">網代慎平</span>: 潮……！
<span class="chapter-reading_char-name">小舟潮</span>: …………！
<span class="chapter-reading_char-name">小舟潮</span>: 慎平っ！
<span class="chapter-reading_char-name">小舟潮</span>: なんで慎平がおるんっ！？帰って来たんっ！？
<span class="chapter-reading_char-name">網代慎平</span>: そ、それはこっちのセリフや……！！
<span class="chapter-reading_char-name">小舟潮</span>: ……え？
<span class="chapter-reading_char-name">網代慎平</span>: っ！
<span class="chapter-reading_char-name">網代慎平</span>: そ……そのネックレス……。
<span class="chapter-reading_char-name">網代慎平</span>: （この世にひとつしかない　潮の遺品を……こいつ……！！）
<span class="chapter-reading_char-name">小舟潮</span>: …………？
<span class="chapter-reading_char-name">網代慎平</span>: 潮は死んだ……！！お……一昨日……。
<span class="chapter-reading_char-name">網代慎平</span>: そ……葬式もやったんや！
<span class="chapter-reading_char-name">小舟潮</span>: ……死んだ？
<span class="chapter-reading_char-name">網代慎平</span>: おまえは……違うっ……。潮のはずないんや！！
<span class="chapter-reading_char-name">小舟潮</span>: はァ！？何を……言うて……。
<span class="chapter-reading_char-name">小舟潮</span>: だって私生きてるよ？ほら！　ここにおるよ！？
<span class="chapter-reading_char-name">網代慎平</span>: …………。
<span class="chapter-reading_char-name">網代慎平</span>: （何を言ってんだ、こいつ……）
<span class="chapter-reading_char-name">網代慎平</span>: （こいつは影だ！！　それはまちがいないっ！！）
<span class="chapter-reading_char-name">網代慎平</span>: お……おまえ……自分に何が起きたんか……覚えてないんか！？
<span class="chapter-reading_char-name">ウシオ</span>: え？
<span class="chapter-reading_char-name">ウシオ</span>: …………。
<span class="chapter-reading_char-name">ウシオ</span>: ……あれ？私……なんでここにおるんやろう……？
<span class="chapter-reading_char-name">網代慎平</span>: ！！
<span class="chapter-reading_char-name">ウシオ</span>: 私……あれ……？おかしいな……。
<span class="chapter-reading_char-name">網代慎平</span>: わからんのか……？こ、ここに来る前のこと……。
<span class="chapter-reading_char-name">ウシオ</span>: …………。
<span class="chapter-reading_char-name">ウシオ</span>: 苦しい……。
<span class="chapter-reading_char-name">網代慎平</span>: ！？
<span class="chapter-reading_char-name">ウシオ</span>: すごい……。苦しかったことだけは覚えてる……。
<span class="chapter-reading_char-name">ウシオ</span>: 水の……中……。目の前が……だんだん暗くなって――
<span class="chapter-reading_char-name">ウシオ</span>: ……っ！！？
<span class="chapter-reading_char-name">ウシオ</span>: そんな……ウソォッ！！？
<span class="chapter-reading_char-name">ウシオ</span>: そっか……。死んでしもたんか、私っ……！！
<span class="chapter-reading_char-name">網代慎平</span>: …………！！
<span class="chapter-reading_char-name">ウシオ</span>: じゃあ、私って何なん……？ゆ、幽霊……？
<span class="chapter-reading_char-name">ウシオ</span>: 幽霊って……ちゃんと足あんねやな……。
<span class="chapter-reading_char-name">網代慎平</span>: （こ……こいつ……　自分を本当に潮だと思ってんのか！？　どうなって――）
<span class="chapter-reading_char-name">ウシオ</span>: …………。
<span class="chapter-reading_char-name">網代慎平</span>: （…………？）
<span class="chapter-reading_char-name">網代慎平</span>: （泣いてる、のか……？）
<span class="chapter-reading_char-name">ウシオ</span>: いっこだけ、思い出した……。
<span class="chapter-reading_char-name">ウシオ</span>: 私、最後に思ったんや。もう１回、会いたかったなって……。
<span class="chapter-reading_char-name">ウシオ</span>: 慎平に会いたいよって……！！
<span class="chapter-reading_char-name">網代慎平</span>: ……っ！
<span class="chapter-reading_char-name">ウシオ</span>: せやから、戻って来られたんかな……？
<span class="chapter-reading_char-name">ウシオ</span>: うれしいっ……。
<span class="chapter-reading_char-name">網代慎平</span>: （その声……その仕草……。　やめろよ……何なんだよっ……！！）
