<span class="name"> </span>「けどね、急がなくていいの」
<span class="name">世津茅早</span> : 「ひさしぶり」
<span class="name">仁和菓</span> : 「……………………」
<span class="name">世津茅早</span> : 「みんな、捜してるよ。特に大輔。七生から連絡があった」
<span class="name">仁和菓</span> : 「……………………」
<span class="name">世津茅早</span> : 「関東セル地区へなにしに来たの？　なんにもないよ」
<span class="name">仁和菓</span> : 「……どうして知ってるの？」
<span class="name">世津茅早</span> : 「わたしが育った島だから」
<span class="name">世津茅早</span> : 「大輔のおかげでずいぶん暮らしは楽になったけど、それでもあんまり安全じゃないよ。特に、女の子は」
<span class="name">仁和菓</span> : 「……関東地区のセル、先生が勤めていたことがあるって、大輔くんのところで知った」
<span class="name">仁和菓</span> : 「自分の守り方なら知ってるから、平気」
<span class="name">世津茅早</span> : 「でも、殺せないでしょ」
<span class="name">仁和菓</span> : 「殺さない。でも、先生がなんでああ言ったのか、わたし、まだわからない……」
<span class="name">仁和菓</span> : 「だから、先生の見て来た景色を、見たいの。全部。わたしは先生のことをもっとちゃんと知りたい」
<span class="name">仁和菓</span> : 「でないとわたし……自分がなんのために生きてるのか\nわからない。\nでも先生が助けてくれた命、捨てられない……」
<span class="name">世津茅早</span> : 「……そう」
<span class="name">仁和菓</span> : 「茅早ちゃんはどこへ行くの？」
<span class="name">世津茅早</span> : 「渡航許可が下りたから、セルを出る」
<span class="name">世津茅早</span> : 「労働義務法が改められたから、遺伝子等級が低くても労働従事年数と社会貢献度に応じて、住民の移動が許可されるようになった。少し賃金ももらえたし」
<span class="name">仁和菓</span> : 「差別は残ってる。セルを出ることができても働いたりできない。誰もあなたを雇わない」
<span class="name">世津茅早</span> : 「外見が普通だったら移住できたかもしれないけど、わたしはこんなだから、しかたない」
<span class="name">仁和菓</span> : 「……じゃあ、なんでセルを出るの」
<span class="name">仁和菓</span> : 「渡航許可が下りるなら、優良労働者認定されたんでしょ？　働く場所だってあるし、お金ももらえて、暮らしていける」
<span class="name">世津茅早</span> : 「働けて、お金がもらえて、暮らしていけるのはすごく大事」
<span class="name">世津茅早</span> : 「でもわたし、それだけじゃ生きて行くには足りない」
<span class="name">世津茅早</span> : 「生きてるって、心臓が動いてるだけじゃないって気がついたから」
<span class="name">世津茅早</span> : 「管理棟のひとに、茅早の友だちって言えばたぶんよくしてくれる。頼ってみて」
<span class="name">世津茅早</span> : 「元気でね、菓」
<span class="name">仁和菓</span> : 「……………………」
<span class="name"> </span>「自分のペースでいいよ。回り道しても、ちゃんと自分だけの道が見つかるはずだから」
<span class="name"> </span>「だってそうやってあたしたち、ここまで一緒に来たんだもん」
