Label SCR_L_ST_KAO_014_START
Chapter: ”15.狂い出した歯車”
<span class="name">網代慎平</span>: …………！
<span class="name">小舟澪</span>: どのみち私と慎ちゃんも一旦家に帰らなアカンし、小弓場さんも一緒にどうですか？
<span class="name">小弓場かおり</span>: うん……じゃあ、お言葉に甘えちゃおうかな。
<span class="name">小弓場かおり</span>: ……あれ？網代くん……？
<span class="name">網代慎平</span>: ハァ……ハァ……。
<span class="name">網代慎平</span>: （戻っ……た……）
<span class="name">網代慎平</span>: ……っ。
<span class="name">小弓場かおり</span>: どうしたの？なんだか、顔色が――
<span class="name">網代慎平</span>: うぷッ。
<span class="name">網代慎平</span>: ゲェェェッ……。
<span class="name">小舟澪</span>: しっ……慎ちゃん！？
<span class="name">小弓場かおり</span>: 網代くん、大丈夫！？
<span class="name">網代慎平</span>: ハァ……ハァ……。
<span class="name">小舟澪</span>: 海に落ちて海水飲んでしもたん！？ヘンなとこ打ったりしてへん！？
<span class="name">小弓場かおり</span>: まだ辛いなら背中さすろうか？
<span class="name">網代慎平</span>: （澪……小弓場さん……）
<span class="name">網代慎平</span>: （二人とも生きてる！）
<span class="name">小舟澪</span>: し、慎ちゃん……？
<span class="name">網代慎平</span>: 良かっ……た……。
<span class="name">小舟澪</span>: …………？
<span class="name">網代慎平</span>: ああ、大丈夫や……。ちょっとフェリーで酔ったんかも。
<span class="name">小舟澪</span>: そうなん？フェリー下りて結構経つけど。
<span class="name">小弓場かおり</span>: 網代くん、水飲む？このペットボトル、まだ口開けてないから。
<span class="name">小舟澪</span>: 慎ちゃん、ありがたくもらっとき。
<span class="name">網代慎平</span>: あ、ああ……。
<span class="name">網代慎平</span>: （はぁはぁ、落ち着け。　まずは状況を整理するんだ……）
<span class="name">網代慎平</span>: （一度目はフェリーの上。　二度目は上陸直後。　そして今回――三度目は、澪と会った後……）
<span class="name">網代慎平</span>: （時間がループした際の『スタート地点』が　徐々に遅くなってきている……）
<span class="name">網代慎平</span>: （そしてスタート地点より前に起きた出来事は、　確定した『事実』になるらしい）
<span class="name">網代慎平</span>: （つまりオレが海に落ちないようにする術は、　もうないってことだ）
<span class="name">網代慎平</span>: （次にループした時のスタート地点は、　たぶん今回よりもさらに遅い時間になるはず……）
<span class="name">小弓場かおり</span>: ん～っ……こうして島を歩くと、帰ってきたって実感するな～！
<span class="name">小舟澪</span>: 小弓場さんは、何年ぶりの帰省なんですか？
<span class="name">小弓場かおり</span>: 小学五年生の時に引っ越したから……７年ぶりかな？
<span class="name">網代慎平</span>: （このままなにもしないでいれば、　小弓場さんのライブ中に……）
<span class="name">網代慎平</span>: （あの惨劇が繰り返されてしまう）
<span class="name">四本腕の影</span>: すごいですねえ。ただ母の食餌を増やすだけのつもりやったのに、こんな面白い光景が見られるなんて。
<span class="name">網代慎平</span>: （母というのは……影の親玉？　あれだけ大勢の人を生贄のようにして、　なにをするつもりだ？）
<span class="name">網代慎平</span>: （そもそもあの惨劇を止めるため、　オレになにができる？）
<span class="name">網代慎平</span>: （祭りの中止をお願いして、　みんなに島から逃げるように言うとか？）
<span class="name">網代慎平</span>: （でもそれが現実的だとは思えないし、　あいつらにバレてしまえば、　計画を早められるおそれもある……）
<span class="name">小舟澪</span>: お休みの日とか、渋谷へ行ったりするんですか？
<span class="name">小弓場かおり</span>: たまに行くけど、そんなに多くはないかなァ。どっちかっていうと、神保町とか。
<span class="name">網代慎平</span>: （やっぱり最終的に目指すところは　根本的な解決……　つまり影の親玉を倒すことだ）
<span class="name">網代慎平</span>: （でも影の親玉の正体もわからない現状では、　どうにも動きようがない）
<span class="name">網代慎平</span>: （今できることと言えば、　できるだけこの島に人が集まらないように　働きかけることくらいか……）
<span class="name">網代慎平</span>: 小弓場さん、このあと商工会の人と打ち合わせがあるんだよね！？
<span class="name">小弓場かおり</span>: えっ、そうだけど……。どうして網代くんがそのことを？
<span class="name">網代慎平</span>: （祭りにあれだけの人が集まったのは、　小弓場さんが自分のチャンネルでライブのことを　話したからだ）
<span class="name">網代慎平</span>: （打ち合わせでライブの告知方法が決まる前に、　配信を中止させられれば……）
<span class="name">小弓場かおり</span>: もしかして……私の仕事のこと気づいてた？
<span class="name">小舟澪</span>: えっ、どういうこと？
<span class="name">小弓場かおり</span>: うーん……隠しててもしょうがないかな。すぐにバレちゃうだろうし。えっとね――
<span class="name">小舟澪</span>: えええええッ！？小弓場さんって、あのアイドルのかおりちゃんやったん！？
<span class="name">小弓場かおり</span>: う、うん。実はそうなんだ。
<span class="name">小舟澪</span>: うわァ、感激や！ほんまもんのかおりちゃんやん！
<span class="name">小弓場かおり</span>: 今回この島に帰省したのは、お祭りの日にシークレットライブとトークショーをやることになったからなの。
<span class="name">網代慎平</span>: 小弓場さん、そのイベントなんだけど、できれば今からでも――
<span class="name">網代慎平</span>: いや、ご、ごめん！ちょっと待ってね！
<span class="name">小弓場かおり</span>: …………？
