--choice On the First Run
Chapter: ”65.疑似ループ、そして団結”
<span class="name">網代慎平</span>: 先生、お腹空きませんか？これ、サンドイッチ作ってきたんです。よかったら……。
<span class="name">南方ひづる</span>: ……キミは変わった男だ…………こんな時でも料理をする。
<span class="name">網代慎平</span>: （そういえば、先生はずっと手袋をしてるな。　あの火傷のような跡を隠すためなんだろうか）
<span class="name">網代慎平</span>: （１４年前の夏、タカノス山で　ハイネの右目がぶつかった跡を……）
<span class="name">網代慎平</span>: あの日、先生の中に竜之介さんが入ったんですね。
<span class="name">南方ひづる</span>: ……ああ、キミたちも見たのだったな。私たちの過去を……。
<span class="name">南方ひづる</span>: <span class="dict">竜之介</span>が入ってきて、初めは驚いたよ。じき慣れたがね。
<span class="name">網代慎平</span>: 竜之介さんは潮みたいに強いし、先生のおかげで何度救われたか……。
<span class="name">南方ひづる</span>: ……私がやれるなら、なるべく私が戦いたい。本当は竜之介をここに呼びたくないんだ。
<span class="name">網代慎平</span>: 弟思いなんですね、先生。
<span class="name">南方ひづる</span>: なぜそうなる。
<span class="name">網代慎平</span>: オレも義妹がいるんでなんとなくわかります。
<span class="name">網代慎平</span>: 弟を……彼を殺した恐ろしい影と戦わせたくないと、先生は思ってる。竜之介さんにまた怖い思いをさせないために。
<span class="name">南方ひづる</span>: ……キミ。それはフカンし過ぎというものだ。
<span class="name">網代慎平</span>: そう……ですか？
<span class="name">南方ひづる</span>: ただ自分のためだよ。竜之介が使うのは人の体だ。あいつが影の運動神経で本気で戦えば私の体など千切れ飛ぶだろう。
<span class="name">南方ひづる</span>: あの時だって、肩は外れるわ足は捻挫するわ全身筋肉痛で四・五日はまともに動けなくなったのだ。たまったものじゃないだろう？
<span class="name">網代慎平</span>: （確かに……。　普通の体じゃ耐えきれないよな……）
<span class="name">網代慎平</span>: 先生は、今夜の影の動きをどう読みますか？
<span class="name">南方ひづる</span>: そうだな……今までの２２日の夜はミオがコフネに来たが、おそらく今回はここに来るだろう。
<span class="name">南方ひづる</span>: ミオは澪をほとんど無視している。ミオは明らかに命令を受けて行動している。
<span class="name">南方ひづる</span>: 本物を殺すという影の本能よりも優先する「上」からの命令……。つまり、ハイネの命令だ。
<span class="name">網代慎平</span>: それを逆手に取るんですね。
<span class="name">南方ひづる</span>: うむ。
<span class="name">網代慎平</span>: （ミオに対する「あの作戦」……　うまくいくだろうか？　いや、潮ならきっとできる！）
<span class="name">網代慎平</span>: この腕の刻印で、ハイネにはオレの居場所もバレてるんでしょうか？
<span class="name">南方ひづる</span>: それもこれから判る。
<span class="name">網代慎平</span>: （敵もループしている……　それにオレの場所がバレてるなら……）
<span class="name">網代慎平</span>: なおさら初動が肝心、ですね。
<span class="name">南方ひづる</span>: ああ。初手から最大戦力で迎え撃つぞ……！
<span class="name">凸村哲</span>: ほっほほほ本物やんっ！！小弓場かおりちゃんやんかァ！！本物はめっっっちゃカワエエわァ！！！
